"ID","Age","valence","magnitude","skew_count","gut","math","win.money","lose.money","win.likely","lose.likely","hap","lap","la","lan","han","ha","graph_lit","Numeracy","lost_invest","why_lost","detect_fraud","likely_fraud","high_pressure","avoid_fraud"
"122",54,"loss","5",9,5,1,5,1,5,1,3.75,4,2,2,1.66666666666667,2.66666666666667,31,8,1,2,1,1,3,2
"123",37,"loss","0.5",2,5,1,4,4,1,1,2,2.33333333333333,2,3.66666666666667,3,2,40,8,1,1,3,4,6,2
"124",60,"loss","5",8,3,3,4,3,3,4,3.25,4,4,3,2.33333333333333,4,27,9,1,1,4,5,6,1
"125",80,"gain","0.5",9,4,3,5,2,4,2,2.5,2.66666666666667,2,2.33333333333333,2.33333333333333,2,30,11,0,NA,4,4,4,2
"126",44,"gain","5",1,5,1,3,3,4,2,2.75,3.66666666666667,3.33333333333333,2.66666666666667,2,2,43,12,0,NA,4,1,6,1
"127",37,"gain","5",6,4,4,4,4,4,4,1.5,2.33333333333333,1.33333333333333,1,2,1.66666666666667,10,2,0,NA,4,4,5,2
"128",39,"loss","0.5",9,5,5,4,4,1,2,3.25,2.66666666666667,1.33333333333333,2,1,1.66666666666667,50,11,1,2,5,1,4,2
"129",79,"neutral","0",6,4,4,3,5,4,4,3.5,4,2,2,1,1.33333333333333,22,6,1,NA,1,2,7,2
"13",55,"neutral","0",8,4,4,5,2,4,2,4.25,4.33333333333333,2,1.66666666666667,1,2,47,7,1,3,1,5,7,2
"130",79,"gain","0.5",7,5,1,4,1,3,3,3.75,4,2.66666666666667,1.66666666666667,2,2,17,10,0,NA,4,3,5,1
"131",49,"gain","5",0,4,2,4,5,3,4,2.25,2.66666666666667,1.33333333333333,2.33333333333333,2,1.66666666666667,20,13,0,NA,1,3,5,2
"132",73,"neutral","0",9,4,4,4,2,4,2,3.5,3.66666666666667,2.33333333333333,1.66666666666667,2,3,31,7,0,NA,4,1,7,2
"133",68,"gain","0.5",9,3,3,4,2,2,2,2,3.66666666666667,2,2.33333333333333,2,2,38,12,0,NA,3,2,6,1
"134",52,"gain","5",9,4,4,4,4,3,3,2.75,3.33333333333333,2,2,1.66666666666667,2,25,9,0,NA,4,4,4,2
"135",75,"loss","0.5",3,4,4,5,5,5,5,3.5,5,3.33333333333333,1.33333333333333,1,1.66666666666667,13,12,1,1,2,2,7,1
"136",45,"neutral","0",7,3,3,3,3,3,3,3.5,3,3,1,3,3,27,5,0,NA,3,2,5,2
"137",40,"loss","0.5",8,5,5,5,3,3,3,3,3,1.66666666666667,2,1.66666666666667,2,22,5,0,NA,4,2,5,1
"138",68,"loss","5",5,2,4,3,3,4,4,2.75,4,3.33333333333333,2,1.66666666666667,2,38,12,0,NA,3,3,6,1
"139",83,"gain","0.5",9,5,3,4,3,4,2,2.75,4.33333333333333,3.66666666666667,1,1.33333333333333,1.33333333333333,19,8,0,NA,1,4,7,2
"14",63,"loss","0.5",8,2,5,3,3,4,4,2,3.66666666666667,1,1.66666666666667,1,1.66666666666667,39,11,1,2,3,2,7,2
"140",27,"neutral","0",8,3,3,4,4,4,4,3.75,4,3,2.66666666666667,2.33333333333333,2.66666666666667,29,2,0,NA,1,1,7,1
"141",41,"gain","5",0,4,5,4,4,4,4,3,3.66666666666667,1.66666666666667,2.33333333333333,1.33333333333333,2.66666666666667,32,13,0,NA,4,1,5,2
"142",71,"neutral","0",9,4,5,4,1,5,1,3.5,3.66666666666667,2.33333333333333,1,1.33333333333333,2,53,12,1,3,5,2,7,1
"143",40,"neutral","0",9,3,3,3,3,3,3,3,3.33333333333333,3,3,2.33333333333333,2,27,8,0,NA,3,1,7,2
"144",26,"loss","0.5",9,1,4,2,2,2,3,5,5,5,5,5,5,58,2,1,1,7,7,7,1
"145",43,"gain","5",4,2,4,4,4,4,4,2.75,2.66666666666667,2,2.33333333333333,2,2,20,7,1,3,6,2,5,1
"146",33,"loss","5",3,2,4,4,4,4,4,3.5,3.66666666666667,1.33333333333333,2.33333333333333,1.33333333333333,2.33333333333333,33,7,0,NA,1,1,7,1
"147",68,"neutral","0",8,1,4,4,4,4,4,2.25,3,2.66666666666667,2,2,2,42,12,1,3,4,2,5,2
"148",77,"gain","0.5",2,4,3,4,4,4,4,3.5,3.66666666666667,2,2.33333333333333,1.66666666666667,3,39,10,1,3,4,3,6,1
"149",79,"neutral","0",9,5,2,4,2,3,2,3,4,1,1.66666666666667,1,2.33333333333333,15,4,0,NA,3,1,7,2
"15",62,"neutral","0",9,4,4,4,3,3,3,3.25,2.66666666666667,2.66666666666667,2.66666666666667,2,2.66666666666667,30,11,1,1,5,6,5,2
"150",77,"gain","0.5",1,4,1,3,5,2,2,2.75,5,2.33333333333333,1.33333333333333,1.33333333333333,1,12,8,0,NA,1,1,7,2
"151",26,"loss","0.5",5,3,2,4,2,2,3,2.75,4,2.33333333333333,3.66666666666667,3,4,31,3,1,3,1,4,5,2
"152",32,"loss","5",2,2,5,4,4,3,2,2,1.33333333333333,4,4,2.66666666666667,1,10,6,0,NA,7,1,1,2
"153",41,"loss","5",2,3,2,3,3,3,3,3,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,1.66666666666667,43,6,1,3,6,5,5,2
"154",41,"loss","5",6,3,2,4,3,3,3,1.75,2,2,4,2.66666666666667,1.33333333333333,25,11,0,NA,4,4,4,2
"155",31,"gain","5",9,3,3,3,3,3,3,1,2.66666666666667,1,1,1,1,10,9,0,NA,1,1,1,2
"156",36,"loss","0.5",8,2,4,4,4,4,2,4.25,4,1.33333333333333,1,1.66666666666667,2.33333333333333,45,12,0,NA,4,5,5,1
"157",37,"neutral","0",9,4,2,4,4,4,4,1.75,2,1.66666666666667,2.33333333333333,1.33333333333333,2,15,5,0,NA,1,1,7,2
"158",29,"loss","5",5,4,5,4,4,2,2,4,5,3,2.33333333333333,2.33333333333333,3,38,3,0,NA,5,1,7,2
"159",42,"loss","0.5",9,1,1,1,1,1,1,5,5,3.66666666666667,5,5,3.66666666666667,27,4,1,1,1,7,1,2
"16",30,"gain","0.5",2,5,1,5,1,5,1,3.75,5,2,1.66666666666667,1,2,45,13,0,NA,1,1,7,1
"160",76,"loss","5",9,4,4,4,3,4,4,3.25,3.33333333333333,3.33333333333333,3.33333333333333,1.33333333333333,2.66666666666667,20,10,0,NA,3,3,4,1
"161",47,"loss","0.5",6,3,4,5,3,5,3,3,3,2.66666666666667,2.66666666666667,2.33333333333333,2.33333333333333,38,4,0,NA,4,4,7,1
"162",54,"gain","5",0,5,4,2,5,4,5,2.5,3.66666666666667,2,1.33333333333333,1.33333333333333,1.66666666666667,22,11,0,NA,4,1,7,1
"163",48,"neutral","0",9,4,3,4,3,5,4,1.75,2,1.33333333333333,4.33333333333333,3,1.33333333333333,20,7,0,NA,1,1,7,2
"164",83,"gain","5",8,5,1,4,3,3,5,2,4,2.66666666666667,1.66666666666667,1.66666666666667,1.33333333333333,31,11,1,2,5,1,7,1
"165",75,"gain","5",0,4,2,2,4,4,4,3.25,3.66666666666667,2.66666666666667,2,2,2.33333333333333,28,12,1,2,3,2,7,1
"166",75,"loss","5",8,4,2,4,4,4,4,3.25,3.66666666666667,1.66666666666667,1.66666666666667,1.33333333333333,1.33333333333333,40,9,1,1,7,1,7,1
"167",41,"gain","0.5",0,3,3,3,5,5,5,3,3.33333333333333,3.66666666666667,2.33333333333333,2,3.33333333333333,30,7,0,NA,5,1,7,2
"168",77,"neutral","0",0,3,5,3,3,5,5,3,4,2.66666666666667,1.66666666666667,2,2,46,13,1,1,6,2,7,1
"169",80,"loss","0.5",2,4,2,4,5,4,4,2.25,3.33333333333333,2,2.33333333333333,1,1.33333333333333,26,9,0,NA,5,4,6,1
"17",65,"gain","5",8,4,4,4,3,3,4,3.5,3.33333333333333,2,2,2,2.66666666666667,29,10,1,2,3,3,5,2
"170",78,"neutral","0",2,4,2,3,5,4,4,3,3.33333333333333,2.33333333333333,2,1.33333333333333,2,28,9,1,1,5,2,6,1
"171",45,"gain","5",8,5,4,5,5,5,5,4,5,3,1,1,3,41,9,1,1,4,2,7,2
"172",31,"loss","0.5",9,5,3,5,3,5,3,3,3.33333333333333,3,2.66666666666667,4,3,42,0,1,5,7,7,7,2
"173",64,"gain","0.5",4,5,3,3,3,4,3,3.5,4,2.66666666666667,2,1.33333333333333,2,47,13,0,NA,6,1,7,2
"174",43,"gain","0.5",2,3,2,4,3,4,2,2.5,3,2.66666666666667,4.33333333333333,1.66666666666667,2.33333333333333,12,4,0,NA,1,1,7,2
"175",77,"loss","0.5",9,5,4,4,2,3,2,3.5,4,2,2,1.66666666666667,2.33333333333333,42,12,1,2,5,2,6,2
"176",59,"gain","5",9,4,2,4,4,4,4,3,4,4,3.33333333333333,3,2.33333333333333,10,6,0,NA,7,7,6,2
"177",30,"gain","0.5",5,3,4,4,1,2,3,2.5,3,3.33333333333333,2.66666666666667,2.33333333333333,1.66666666666667,30,8,1,2,4,3,3,2
"178",55,"loss","0.5",4,5,5,5,5,5,5,1,1,1,1,1,1,18,3,0,NA,7,7,7,2
"179",38,"gain","0.5",5,3,3,3,3,3,3,3,3.33333333333333,3.66666666666667,3.33333333333333,3,3,35,9,1,1,7,7,7,1
"18",70,"loss","0.5",4,4,4,2,4,4,4,2.75,3.66666666666667,3.33333333333333,2,1.33333333333333,2.66666666666667,47,11,0,NA,6,1,7,1
"180",28,"loss","5",9,4,5,5,4,3,3,2,2.66666666666667,3.33333333333333,3.33333333333333,2.33333333333333,2.66666666666667,36,11,0,NA,4,2,5,1
"181",25,"loss","0.5",8,5,2,4,5,4,2,3.25,4,2.66666666666667,2.33333333333333,1.33333333333333,2.66666666666667,45,11,0,NA,5,2,4,2
"182",35,"neutral","0",9,4,2,1,4,5,2,5,5,3.66666666666667,1.66666666666667,1.33333333333333,2.33333333333333,43,12,0,NA,1,1,1,2
"183",30,"loss","5",6,4,3,3,1,2,2,2.75,2.66666666666667,2.66666666666667,3,3,2.33333333333333,24,2,1,3,5,3,6,1
"184",25,"loss","0.5",5,4,4,4,4,4,4,3,3,3,3,3,3,30,8,1,1,1,1,7,1
"185",46,"gain","0.5",2,4,3,4,4,4,3,3,2.66666666666667,2.66666666666667,2.66666666666667,1.66666666666667,2,40,10,1,1,5,1,7,1
"186",47,"gain","5",4,4,4,4,4,5,5,3.25,4,2.33333333333333,1.33333333333333,1.33333333333333,2,48,12,1,2,6,1,7,2
"187",48,"gain","5",0,2,5,5,4,5,4,3.75,2,2,2,1.66666666666667,3.33333333333333,55,10,1,2,7,1,7,1
"188",76,"gain","0.5",9,4,4,4,4,3,2,1.75,2.66666666666667,3.33333333333333,3,2.33333333333333,3,14,6,1,3,1,1,7,1
"189",49,"neutral","0",7,4,5,5,4,4,4,3.75,4,3,1.66666666666667,1.33333333333333,2.33333333333333,43,8,1,2,6,1,7,1
"19",30,"gain","5",4,5,3,4,5,2,2,2,2.33333333333333,3.33333333333333,3.33333333333333,2.33333333333333,1.66666666666667,26,10,1,3,4,2,6,2
"190",31,"gain","5",1,2,4,4,5,5,5,2.75,4,3,2,1.66666666666667,2,50,13,0,NA,6,1,7,1
"191",51,"loss","5",4,3,4,5,4,3,4,1.75,3.66666666666667,1.66666666666667,2,1.66666666666667,1,41,9,1,2,5,3,6,1
"192",53,"neutral","0",1,1,5,4,4,1,1,2.75,4,2,2.33333333333333,1.66666666666667,2,26,9,0,NA,1,1,7,1
"193",46,"gain","0.5",7,2,4,4,4,3,3,2.5,2.33333333333333,2.66666666666667,3.66666666666667,2,2.66666666666667,28,10,0,NA,4,4,6,1
"194",47,"loss","0.5",0,1,5,1,5,5,5,3,4,3.33333333333333,1.66666666666667,1,1.66666666666667,51,12,0,NA,6,2,7,2
"195",57,"gain","5",0,4,4,4,4,4,4,2.5,4,1.66666666666667,2,1.33333333333333,2,39,4,1,2,2,3,3,1
"196",51,"loss","0.5",9,4,4,4,4,4,4,2.75,2.66666666666667,2.66666666666667,3,2.33333333333333,2.33333333333333,36,7,1,2,5,6,5,1
"197",50,"loss","5",7,1,5,5,5,5,5,2,4.33333333333333,2.66666666666667,2.33333333333333,1,1,48,14,0,NA,3,1,7,2
"198",30,"gain","5",9,4,3,5,2,3,3,1,1.66666666666667,2.33333333333333,1,1.66666666666667,1.33333333333333,39,12,1,2,4,7,7,1
"199",41,"loss","0.5",3,3,4,4,4,4,4,2,2.33333333333333,2.66666666666667,2,2,2,40,11,0,NA,4,3,4,2
"2",52,"gain","5",8,4,4,4,3,4,3,2.5,4,4,3,2.33333333333333,2.33333333333333,29,13,1,2,4,4,6,2
"20",34,"loss","0.5",7,5,5,5,5,5,3,4,4,3.66666666666667,2.66666666666667,3.66666666666667,5,58,9,1,NA,5,7,7,1
"200",39,"neutral","0",0,5,5,3,5,5,5,4,4,3.33333333333333,2.33333333333333,1.66666666666667,3,42,8,0,NA,6,2,6,1
"201",52,"gain","5",0,2,5,5,3,5,3,2.5,4,3,3,1.33333333333333,2.33333333333333,38,13,1,1,4,4,7,1
"202",41,"gain","5",0,4,1,2,2,5,2,3.75,5,2.66666666666667,1,1,2,45,11,0,NA,7,1,7,2
"203",62,"gain","5",8,4,4,4,2,4,2,3.25,4,2.66666666666667,1.66666666666667,1,1,14,11,0,NA,3,2,7,2
"204",59,"neutral","0",8,3,4,4,3,4,2,3.25,3.66666666666667,1.33333333333333,1,1.66666666666667,2.66666666666667,26,5,1,1,4,2,7,2
"205",36,"loss","5",8,3,3,4,4,5,4,2,2.33333333333333,2.33333333333333,2.66666666666667,2,2,21,7,1,1,2,1,4,2
"206",39,"neutral","0",9,3,4,5,5,4,4,3.5,4.66666666666667,2.66666666666667,2,1,3,41,7,0,NA,6,6,4,2
"207",29,"loss","0.5",9,4,4,5,5,4,4,3.25,3.33333333333333,2.33333333333333,3.66666666666667,1.66666666666667,2.33333333333333,38,14,0,NA,7,1,7,1
"208",34,"gain","5",1,4,4,2,5,5,5,3.25,2,2,2,2.33333333333333,2,45,12,1,2,4,3,7,1
"209",33,"loss","5",9,5,2,5,1,1,1,4.5,3.33333333333333,2.66666666666667,2,2.33333333333333,2.66666666666667,10,9,0,NA,2,4,3,2
"21",36,"loss","5",8,5,4,4,4,3,3,3.5,2.66666666666667,2.33333333333333,2.33333333333333,1,2,44,12,1,2,4,4,5,1
"22",49,"gain","5",6,5,2,4,4,2,2,3,2.33333333333333,1.33333333333333,3,2,2,42,11,0,NA,2,4,5,1
"23",76,"gain","0.5",7,4,3,2,4,4,4,3.75,4,3.66666666666667,1.66666666666667,2,2.33333333333333,32,11,1,4,4,2,7,1
"24",63,"loss","0.5",6,4,4,4,4,5,5,3.75,4,3.66666666666667,2.66666666666667,1.66666666666667,3.33333333333333,34,12,1,2,5,1,7,1
"25",63,"loss","0.5",9,5,4,5,2,5,2,3.25,3.66666666666667,2,2,1.33333333333333,2.33333333333333,46,10,1,2,7,1,7,1
"26",71,"loss","0.5",6,4,3,4,5,4,4,3,3.66666666666667,2.33333333333333,2,2,2.66666666666667,18,9,0,NA,5,2,6,1
"27",39,"gain","5",2,5,5,4,5,4,5,4.75,4.33333333333333,4.66666666666667,4.66666666666667,4.33333333333333,4.66666666666667,54,3,1,1,7,6,7,2
"28",59,"loss","5",0,1,5,1,5,3,5,2,3.66666666666667,2,2,1.33333333333333,2,41,11,1,2,4,2,7,2
"29",29,"neutral","0",6,4,4,4,4,4,2,3,4.33333333333333,3,3,2.33333333333333,2.33333333333333,43,10,0,NA,4,1,6,1
"3",68,"loss","0.5",5,4,2,4,4,3,3,3.25,3,1,1.33333333333333,1.33333333333333,1.66666666666667,27,9,1,2,4,2,6,2
"30",66,"neutral","0",6,4,4,3,2,3,3,2,3,3,3.33333333333333,2.66666666666667,2.33333333333333,24,10,1,3,5,4,5,1
"31",78,"gain","0.5",4,4,3,4,4,4,4,3,3.66666666666667,3,2,2,2.33333333333333,20,7,0,NA,5,3,5,2
"32",74,"loss","0.5",3,1,4,5,5,5,5,2.25,5,4.33333333333333,2,1,2,34,12,1,1,5,2,7,1
"33",79,"neutral","0",1,3,4,2,4,4,4,2.25,4,3.33333333333333,2.33333333333333,2,1.66666666666667,47,14,1,4,4,2,7,1
"34",34,"loss","5",3,5,5,5,5,5,5,5,5,3,1,1.33333333333333,5,38,2,0,NA,4,7,5,2
"35",71,"loss","5",9,4,4,4,1,4,1,1.25,1.66666666666667,4.33333333333333,4.33333333333333,4.33333333333333,1,12,8,0,NA,4,1,7,2
"36",75,"neutral","0",5,5,4,1,1,4,2,3.75,4.66666666666667,3,1.33333333333333,1.33333333333333,2.66666666666667,40,9,0,NA,4,2,6,1
"37",76,"gain","0.5",0,1,4,2,4,3,4,3.25,3.66666666666667,2,1.66666666666667,1.33333333333333,2,39,12,1,2,6,2,6,2
"38",58,"gain","5",0,4,2,3,5,4,4,1.75,3,3.33333333333333,2,1.66666666666667,1.33333333333333,48,12,0,NA,3,2,7,2
"39",85,"loss","0.5",6,4,4,4,3,4,3,3,4,3.33333333333333,2,1.33333333333333,1.66666666666667,45,11,1,3,2,1,6,2
"4",42,"loss","5",9,1,1,4,2,2,2,3.25,2.33333333333333,2,1.66666666666667,1.66666666666667,1.33333333333333,13,7,0,NA,1,2,7,2
"40",41,"neutral","0",9,5,5,5,5,5,5,4.75,5,4.33333333333333,4.66666666666667,4.33333333333333,4.66666666666667,58,2,1,1,7,7,7,1
"41",46,"loss","5",7,3,5,5,2,5,2,2.75,3.33333333333333,2.66666666666667,2,2,2,43,9,1,2,5,2,7,2
"42",26,"gain","0.5",9,5,3,4,4,3,3,2.75,2.33333333333333,2,3.33333333333333,1.33333333333333,2,41,6,0,NA,5,1,6,2
"43",23,"gain","0.5",1,4,4,2,4,4,4,3.25,4,2,2,1.66666666666667,2,47,11,1,2,4,2,6,2
"44",40,"gain","0.5",1,3,3,3,3,3,3,3.5,4,2,2,1.33333333333333,2,34,4,0,NA,4,4,4,2
"45",45,"loss","0.5",9,2,3,4,1,4,1,3.25,3.33333333333333,2.33333333333333,1,1.33333333333333,2,39,9,1,1,4,2,6,2
"46",29,"loss","5",9,3,4,5,3,3,3,2,2,1.66666666666667,2,1.33333333333333,1.66666666666667,33,11,0,NA,4,4,4,2
"47",50,"neutral","0",9,4,4,4,4,4,4,4,4,2,1.66666666666667,1.66666666666667,3.33333333333333,40,12,1,1,5,3,6,1
"48",22,"gain","0.5",4,5,5,3,4,4,4,3,3.33333333333333,3,2.66666666666667,2.33333333333333,2.33333333333333,41,12,1,1,5,5,6,1
"49",50,"neutral","0",9,5,5,5,1,5,1,4,4,4,2.66666666666667,1,4,24,8,0,NA,4,1,6,1
"5",33,"gain","0.5",3,5,3,4,5,3,3,2.75,3,4,4.33333333333333,3.66666666666667,2.33333333333333,42,12,0,NA,2,4,3,2
"50",29,"gain","5",4,4,4,5,4,4,4,2.75,4,4.33333333333333,2,3,2.66666666666667,37,11,0,NA,1,1,1,2
"51",25,"neutral","0",0,4,5,1,5,1,5,1,2,3.33333333333333,2.33333333333333,2,2,49,12,0,NA,4,1,6,2
"52",27,"loss","5",4,5,1,4,4,5,5,3.25,3.66666666666667,3,2.33333333333333,1.66666666666667,2,51,12,0,NA,6,1,5,1
"53",53,"gain","0.5",6,4,4,2,4,5,3,2.5,3.66666666666667,2.66666666666667,3.33333333333333,1.33333333333333,2.33333333333333,28,10,1,3,5,2,6,2
"54",38,"loss","0.5",7,4,4,4,4,4,4,3.25,4,2.66666666666667,1,1,1.33333333333333,10,2,0,NA,7,7,7,2
"55",69,"loss","5",9,4,2,4,2,3,1,1.25,1.66666666666667,2.66666666666667,3.33333333333333,1.66666666666667,1,19,11,0,NA,3,3,4,1
"56",71,"gain","5",1,3,3,4,2,3,3,3,2,2.33333333333333,3,2.33333333333333,2.33333333333333,48,9,1,1,3,2,7,1
"57",35,"neutral","0",5,3,4,5,1,5,1,4.5,4.33333333333333,1.66666666666667,1.66666666666667,2,3,46,7,0,NA,7,1,7,1
"58",55,"gain","0.5",6,5,1,4,4,4,4,3.25,4,2.33333333333333,2,1.33333333333333,2,26,9,0,NA,5,3,5,2
"59",25,"gain","0.5",2,3,4,3,4,3,4,2.75,3.33333333333333,2.33333333333333,2.33333333333333,1.66666666666667,2,39,11,0,NA,4,4,5,2
"6",30,"gain","5",3,4,2,4,4,5,4,2.5,3.66666666666667,3,1.33333333333333,1.66666666666667,2,50,12,0,NA,6,1,7,2
"60",55,"loss","0.5",9,5,4,4,1,4,1,3.75,4,2,1.33333333333333,1.33333333333333,2.33333333333333,43,9,0,NA,4,4,7,2
"61",69,"neutral","0",0,5,2,5,5,5,5,2.75,4,4,2.33333333333333,2,2,37,13,0,NA,4,3,6,2
"62",60,"gain","0.5",8,5,4,5,3,3,3,2.25,2,1.33333333333333,1.66666666666667,1,1,30,9,0,NA,1,4,5,2
"63",69,"loss","5",9,3,3,4,2,4,3,4,4,2.33333333333333,2,1.33333333333333,2,40,11,1,1,5,2,7,2
"64",49,"gain","5",4,5,4,2,4,2,1,4.5,5,2.33333333333333,1.33333333333333,1.33333333333333,3.66666666666667,58,9,0,NA,4,4,5,2
"65",40,"gain","0.5",9,4,2,4,4,4,4,1.75,1.66666666666667,1.33333333333333,4.66666666666667,2.66666666666667,1.33333333333333,10,3,0,NA,2,2,2,2
"66",70,"neutral","0",5,4,2,4,4,4,4,3.5,3.33333333333333,2.33333333333333,2,1.66666666666667,2.33333333333333,28,3,0,NA,5,4,6,1
"67",71,"gain","0.5",9,4,1,5,1,3,3,3,4.66666666666667,3.33333333333333,1,1,1,32,7,1,1,4,2,6,1
"68",71,"loss","5",0,2,5,1,5,5,5,4,5,2.66666666666667,1.33333333333333,1,2,47,11,1,1,2,3,7,2
"69",69,"gain","5",4,2,4,4,2,5,1,2.75,4,3,2,1.66666666666667,1.66666666666667,35,10,1,2,6,2,7,2
"7",75,"loss","5",9,4,4,4,5,4,4,4.25,4.33333333333333,2.66666666666667,1.66666666666667,1.33333333333333,3.33333333333333,27,8,0,NA,5,1,7,2
"70",70,"loss","5",9,5,2,5,1,3,2,3.25,3.66666666666667,2.33333333333333,1.66666666666667,1,2.33333333333333,20,8,0,NA,4,1,7,2
"71",46,"gain","5",3,1,5,2,2,4,3,2.25,3.66666666666667,3.33333333333333,2.33333333333333,1.66666666666667,2,30,9,1,3,4,1,7,1
"72",62,"loss","0.5",6,4,3,2,2,4,4,3.5,4,2.33333333333333,2,1.33333333333333,2.33333333333333,27,10,0,NA,5,3,7,1
"73",66,"gain","5",3,5,3,5,5,5,5,2.75,3,2.66666666666667,3.33333333333333,2.33333333333333,2,26,8,0,NA,3,2,7,1
"74",26,"gain","0.5",8,5,1,3,3,3,3,3.25,2.66666666666667,3,3,2.33333333333333,3,30,7,1,3,4,1,1,2
"75",80,"loss","0.5",5,4,4,4,2,4,2,3,2.66666666666667,2.33333333333333,2,1.66666666666667,1.66666666666667,41,10,0,NA,2,1,7,2
"76",74,"gain","0.5",8,5,2,5,2,4,2,3,4,2.66666666666667,3.33333333333333,2,2.33333333333333,34,9,0,NA,2,1,7,2
"77",30,"loss","0.5",9,5,5,5,5,5,5,5,5,5,5,5,5,58,1,1,4,7,7,7,1
"78",70,"loss","0.5",0,4,4,5,5,5,5,2.5,3.66666666666667,1.66666666666667,2,1.66666666666667,1,24,9,0,NA,1,1,7,2
"79",57,"loss","5",9,1,2,2,4,1,2,1.75,5,4.33333333333333,3.33333333333333,1,2,21,11,1,4,4,2,7,1
"8",62,"loss","0.5",9,4,4,5,4,4,4,3,3,3.33333333333333,3.33333333333333,2.33333333333333,2.66666666666667,25,8,0,NA,1,1,6,2
"80",76,"gain","5",9,4,4,5,2,4,2,3.25,3,3,2,1,1.66666666666667,21,2,0,NA,3,1,7,1
